,Size,Mobility,Activity,Gregariousness,Position,Diet
Trachipterus_fukuzakii,6,4,D,1,1,FC
Trachurus_symmetricus,6,4,D,4,2,FC
Trichiurus_lepturus,6,4,D,1,2,FC
Trichiurus_nitens,6,4,D,3,2,FC
Trichodon_trichodon,4,1,D,1,1,IM
Trinectes_fonsecensis,3,1,D,1,1,FC
Triphoturus_mexicanus,1,1,D,1,3,Pk
Tylosurus_acus,6,4,D,3,3,FC
Tylosurus_crocodilus,6,4,D,3,3,FC
Tylosurus_fodiator,6,4,D,1,3,FC
Tylosurus_imperialis,6,4,D,1,3,FC
Tylosurus_melanotus,6,4,D,1,3,FC
Tylosurus_pacificus,6,4,D,1,3,FC
Tylosurus_sp.,6,4,D,1,3,FC
Typhlogobius_californiensis,2,1,D,3,1,HD
Ulvicola_sanctaerosae,3,2,D,1,3,IM
Umbrina_dorsalis,4,2,D,3,2,IM
Umbrina_roncador,5,3,D,3,1,FC
Umbrina_wintersteeni,3,2,D,1,2,FC
Umbrina_xanti,4,2,D,1,1,FC
Uraspis_helvola,5,4,N,3,2,FC
Uraspis_secunda,4,4,N,3,3,FC
Uropterygius_macrocephalus,4,1,N,1,1,IM
Uropterygius_polystictus,5,1,N,1,1,IM
Uropterygius_versutus,5,1,D,1,1,FC
Valenciennellus_tripunctulatus,1,2,D,1,2,IM
Vinciguerria_lucetia,2,2,D,1,2,Pk
Vinciguerria_nimbaria,1,2,N,1,2,IM
Vinciguerria_poweriae,1,2,N,1,2,IM
Xanthichthys_lineopunctatus,3,3,D,1,2,Pk
Xanthichthys_mento,3,3,D,3,2,Pk
Xenichthys_xanti,3,3,N,4,1,IM
Xenomedea_rhodopyga,1,1,D,1,1,IM
Xenomystax_atrarius,6,1,D,1,1,FC
Xiphias_gladius,6,4,D,1,3,FC
Xiphister_atropurpureus,4,1,D,1,1,IM
Xirichtys_mundiceps,2,2,D,1,1,IM
Xyrichtys_sp.,2,2,D,1,1,IM
Xystreurys_liolepis,5,2,D,1,1,IM
Zalembius_rosaceus,3,2,N,1,1,IM
Zalieutes_elater,2,1,D,1,1,FC
Zanclus_canescens,3,2,D,3,2,IS
Zanclus_cornutus,3,2,D,3,1,IS
Zaniolepis_frenatus,3,1,D,1,1,IM
Icelinus_cavifrons,2,1,D,1,1,FC
Gymnothorax_verrilli,4,1,N,1,1,FC
Lophogobius_cristulatus,2,1,D,1,1,IM
Stellifer_ericymba,3,1,D,1,1,Pk
Umbrina_analis,4,1,D,1,1,IM
